342 Trace(s) in Stream:
CZ.VRAC..BHZ    | 2019-02-01T01:00:00.569537Z - 2019-02-08T23:59:59.569537Z | 1.0 Hz, 687600 samples
DK.BSD..LHZ     | 2019-02-01T01:00:00.044400Z - 2019-02-08T23:59:59.044400Z | 1.0 Hz, 687600 samples
DK.MUD..LHZ     | 2019-02-01T00:59:59.677700Z - 2019-02-08T23:59:58.677700Z | 1.0 Hz, 687600 samples
EI.DSB..LHZ     | 2019-02-01T01:00:00.120000Z - 2019-02-08T23:59:59.120000Z | 1.0 Hz, 687600 samples
EI.IDGL..LHZ    | 2019-02-01T01:00:00.120000Z - 2019-02-08T23:59:59.120000Z | 1.0 Hz, 687600 samples
EI.IGLA..LHZ    | 2019-02-01T01:00:00.120000Z - 2019-02-08T23:59:59.120000Z | 1.0 Hz, 687600 samples
EI.ILTH..LHZ    | 2019-02-01T01:00:00.120000Z - 2019-02-08T23:59:59.120000Z | 1.0 Hz, 687600 samples
EI.VAL..LHZ     | 2019-02-01T01:00:00.120000Z - 2019-02-08T23:59:59.120000Z | 1.0 Hz, 687600 samples
FR.AGO.00.LHZ   | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.AJAC.00.LHZ  | 2019-02-01T00:59:59.945659Z - 2019-02-08T23:59:58.945659Z | 1.0 Hz, 687600 samples
FR.ARBF.00.LHZ  | 2019-02-01T00:59:59.945500Z - 2019-02-08T23:59:58.945500Z | 1.0 Hz, 687600 samples
FR.ARTF.00.BHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.ATE.00.BHZ   | 2019-02-01T01:00:00.032999Z - 2019-02-08T23:59:59.032999Z | 1.0 Hz, 687600 samples
FR.BETS.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.BSTF.00.BHZ  | 2019-02-01T00:59:59.583160Z - 2019-02-08T23:59:58.583160Z | 1.0 Hz, 687600 samples
FR.CALF.00.BHZ  | 2019-02-01T01:00:00.033159Z - 2019-02-08T23:59:59.033159Z | 1.0 Hz, 687600 samples
FR.CARF.00.LHZ  | 2019-02-01T00:59:59.945500Z - 2019-02-08T23:59:58.945500Z | 1.0 Hz, 687600 samples
FR.CFF.00.LHZ   | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.CHIF.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.CIEL.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.CLAF.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.COLF.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.CRAS.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.DOU.00.LHZ   | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.ENAUX.00.LHZ | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.ESCA.01.LHZ  | 2019-02-01T00:59:59.945500Z - 2019-02-08T23:59:58.945500Z | 1.0 Hz, 687600 samples
FR.FILF.00.LHZ  | 2019-02-01T00:59:59.675464Z - 2019-02-08T23:59:58.675464Z | 1.0 Hz, 687600 samples
FR.FNEB.00.LHZ  | 2019-02-01T00:59:59.945501Z - 2019-02-08T23:59:58.945501Z | 1.0 Hz, 687600 samples
FR.FRNF.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.HOHE.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.ILLF.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.ISO.00.BHZ   | 2019-02-01T01:00:00.033159Z - 2019-02-08T23:59:59.033159Z | 1.0 Hz, 687600 samples
FR.LABF.00.LHZ  | 2019-02-01T00:59:59.945501Z - 2019-02-08T23:59:58.945501Z | 1.0 Hz, 687600 samples
FR.LBL.00.LHZ   | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.LEMB.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.LEUC.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.LOCF.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.LOUF.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.LRVF.00.LHZ  | 2019-02-01T01:00:00.398966Z - 2019-02-08T23:59:59.398966Z | 1.0 Hz, 687600 samples
FR.MANO.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.MLS.00.LHZ   | 2019-02-01T00:59:59.945501Z - 2019-02-08T23:59:58.945501Z | 1.0 Hz, 687600 samples
FR.MON.00.LHZ   | 2019-02-01T00:59:59.945500Z - 2019-02-08T23:59:58.945500Z | 1.0 Hz, 687600 samples
FR.MONQ.00.LHZ  | 2019-02-01T00:59:59.945500Z - 2019-02-08T23:59:58.945500Z | 1.0 Hz, 687600 samples
FR.MORSI.00.LHZ | 2019-02-01T00:59:59.945500Z - 2019-02-08T23:59:58.945500Z | 1.0 Hz, 687600 samples
FR.NEEW.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.OLIV.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.OPS.00.LHZ   | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.ORDF.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.OSSF.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.PAND.00.LHZ  | 2019-02-01T00:59:59.945500Z - 2019-02-08T23:59:58.945500Z | 1.0 Hz, 687600 samples
FR.PLDF.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.PLEF.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.PYLO.00.LHZ  | 2019-02-01T00:59:59.945500Z - 2019-02-08T23:59:58.945500Z | 1.0 Hz, 687600 samples
FR.RIVEL.00.LHZ | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.RONF.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.SALF.00.LHZ  | 2019-02-01T00:59:59.945501Z - 2019-02-08T23:59:58.945501Z | 1.0 Hz, 687600 samples
FR.SAUF.00.LHZ  | 2019-02-01T00:59:59.945500Z - 2019-02-08T23:59:58.945500Z | 1.0 Hz, 687600 samples
FR.SDOF.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.SJAF.00.LHZ  | 2019-02-01T01:00:00.277708Z - 2019-02-08T23:59:59.277708Z | 1.0 Hz, 687600 samples
FR.SMPL.00.BHZ  | 2019-02-01T01:00:00.433000Z - 2019-02-08T23:59:59.433000Z | 1.0 Hz, 687600 samples
FR.SPIF.00.LHZ  | 2019-02-01T00:59:59.945659Z - 2019-02-08T23:59:58.945659Z | 1.0 Hz, 687600 samples
FR.STR.00.LHZ   | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.TERF.00.LHZ  | 2019-02-01T00:59:59.945501Z - 2019-02-08T23:59:58.945501Z | 1.0 Hz, 687600 samples
FR.TRBF.00.LHZ  | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
FR.TURF.00.LHZ  | 2019-02-01T00:59:59.945659Z - 2019-02-08T23:59:58.945659Z | 1.0 Hz, 687600 samples
FR.URDF.00.LHZ  | 2019-02-01T00:59:59.945500Z - 2019-02-08T23:59:58.945500Z | 1.0 Hz, 687600 samples
